(Copy the generated price report into this section every day),,,,,,,,,,,
Item,Want Quantity,Market,Price Each (w/o tax),Min Price Each,Max Purchase Price Each,Actual Quantity,Sells per Day,Universalis URL,,,
ファイアクリスタル,792,Mana,30,30,30,4999,15771.43,https://universalis.app/market/8,,,
ファイアクラスター,297,Mana,37,37,37,3000,15018.57,https://universalis.app/market/14,,,
ウォータークラスター,297,Mana,7,7,7,8824,20519.72,https://universalis.app/market/19,,,
ナシゴレン[HQ],1,Mana,128.89,129,129,3,21.43,https://universalis.app/market/44078,,,
ロネークステーキ[HQ],4,Mana,1000,1000,1000,4,33.57,https://universalis.app/market/44091,,,
セビーチェ[HQ],4,Mana,2100,2100,2100,4,72,https://universalis.app/market/44842,,,
魔匠の薬液,7,Mana,184.76,169,197,8,3.57,https://universalis.app/market/44169,,,
魔匠の薬液[HQ],7,Mana,1359.68,1200,1390,12,44.71,https://universalis.app/market/44169,,,
コーディアル,6,Mana,200,200,200,14,190,https://universalis.app/market/6141,,,
コーディアル[HQ],6,Mana,600,600,600,18,112.86,https://universalis.app/market/6141,,,
ブラウンカルダモン,99,Mana,703.95,700,704,100,384.14,https://universalis.app/market/44171,,,
トラルコーン,396,Mana,147.82,140,150,440,381.14,https://universalis.app/market/43981,,,
トラルコーンオイル,198,Mana,237.64,214,333,200,80.43,https://universalis.app/market/43976,,,
トラルコーンオイル[HQ],198,Mana,781.64,548,785,283,263.57,https://universalis.app/market/43976,,,
ココナッツ,198,Mana,106.04,80,133,203,354.43,https://universalis.app/market/36087,,,
ココナッツミルク,99,Mana,293.48,200,300,132,127.29,https://universalis.app/market/36082,,,
ココナッツミルク[HQ],99,Mana,422.71,340,600,118,163.86,https://universalis.app/market/36082,,,
スワンプモンクのモモ肉,99,Mana,297.98,297,298,161,293,https://universalis.app/market/44064,,,
ヤースラニガーリック,99,Mana,185.75,150,198,171,310.71,https://universalis.app/market/43985,,,
黄金の霊砂,99,Mana,400,400,400,99,521.57,https://universalis.app/market/44035,,,
トラルコーン,-99,Titan,-300,-300,,-99,1709.7,https://universalis.app/market/43981,,,
トラルコーンオイル,-297,Titan,-333,-333,,-297,96.39,https://universalis.app/market/43976,,,
トラルコーンオイル[HQ],-297,Titan,-900,-900,,-297,1339.53,https://universalis.app/market/43976,,,
ココナッツ,-99,Titan,-80,-80,,-99,866.97,https://universalis.app/market/36087,,,
ココナッツミルク,-297,Titan,-580,-580,,-297,65.88,https://universalis.app/market/36082,,,
ココナッツミルク[HQ],-297,Titan,-695,-695,,-297,572.66,https://universalis.app/market/36082,,,
ヤースラニガーリック,-99,Titan,-205,-205,,-99,2878.11,https://universalis.app/market/43985,,,
ムケッカ[HQ],-297,Titan,-1900,-1900,,-297,5079.48,https://universalis.app/market/44178,,,
,,,,,,,,,,,
(Gathering yield is measured with iLv707/5345/5173/GP930 gears),,,,,,,,,,,
Gather Plan,,,,,,,Yield / Cordial,Time / Cordial,Expense / Hour,Revenue / Hour,Profit / Hour
(ナシゴレン[HQ] + Cordial) → トラルコーン,,,,,,,120,240,=($D$6*2+$D$11*3600/$I34)*1.05,=$D$23*$H34*3600/$I34*-0.97,=$K34-$J34
(ナシゴレン[HQ] + Cordial) → ココナッツ,,,,,,,120,240,=($D$6*2+$D$11*3600/$I35)*1.05,=$D$26*$H35*3600/$I35*-0.97,=$K35-$J35
(ナシゴレン[HQ] + Cordial) → ヤースラニガーリック,,,,,,,120,240,=($D$6*2+$D$11*3600/$I36)*1.05,=$D$29*$H36*3600/$I36*-0.97,=$K36-$J36
,,,,,,,,,,,
(Crafting time and yield are measured with iLv707/5428/5084/CP645 gears and Raphael FFXIV Crafting Solver),,,,,,,,,,,
Synthesis Plan,,,,,,,Yield / Craft,Time / Craft,Expense / Hour,Revenue / Hour,Profit / Hour
#1 トラルコーン → トラルコーンオイル,,,,,,,=99*3,330,=($D$3*8+$D$14*6)*99*3600/$I40*1.05,=$D$24*$H40*3600/$I40*-0.97,=$K40-$J40
#2 トラルコーン → トラルコーンオイル[HQ],,,,,,,3,25,=($D$3*8+$D$14*6)*3600/$I41*1.05,=$D$25*$H41*3600/$I41*-0.97,=$K41-$J41
#3 ココナッツ → ココナッツミルク,,,,,,,=99*3,330,=($D$3*8+$D$17*6)*99*3600/$I42*1.05,=$D$27*$H42*3600/$I42*-0.97,=$K42-$J42
#4 ココナッツ → ココナッツミルク[HQ],,,,,,,3,8.75,=($D$3*8+$D$17*6)*3600/$I43*1.05,=$D$28*$H43*3600/$I43*-0.97,=$K43-$J43
#5 トラルコーンオイル + ココナッツミルク + (ロネークステーキ[HQ]) → ムケッカ[HQ],,,,,,,2.94,67.5,=(($D$4*3+$D$5*3+$D$13+$D$15*2+$D$18+$D$20+$D$21+$D$22)*3600/$I44+$D$7*2)*1.05,=$D$30*$H44*3600/$I44*-0.97,=$K44-$J44
#6 トラルコーンオイル + ココナッツミルク + (ロネークステーキ[HQ] + CP+21) → ムケッカ[HQ],,,,,,,3,63.75,=(($D$4*3+$D$5*3+$D$13+$D$15*2+$D$18+$D$20+$D$21+$D$22)*3600/$I45+$D$7*2+$D$9*4)*1.05,=$D$30*$H45*3600/$I45*-0.97,=$K45-$J45
#7 トラルコーンオイル + ココナッツミルク + (ロネークステーキ[HQ] + CP+27) → ムケッカ[HQ],,,,,,,3,61.25,=(($D$4*3+$D$5*3+$D$13+$D$15*2+$D$18+$D$20+$D$21+$D$22)*3600/$I46+$D$7*2+$D$10*4)*1.05,=$D$30*$H46*3600/$I46*-0.97,=$K46-$J46
#8 トラルコーンオイル + ココナッツミルク[HQ] + (ロネークステーキ[HQ]) → ムケッカ[HQ],,,,,,,3,47.5,=(($D$4*3+$D$5*3+$D$13+$D$15*2+$D$19+$D$20+$D$21+$D$22)*3600/$I47+$D$7*2)*1.05,=$D$30*$H47*3600/$I47*-0.97,=$K47-$J47
#9 トラルコーンオイル[HQ] + ココナッツミルク + (ロネークステーキ[HQ]) → ムケッカ[HQ],,,,,,,3,41.25,=(($D$4*3+$D$5*3+$D$13+$D$16*2+$D$18+$D$20+$D$21+$D$22)*3600/$I48+$D$7*2)*1.05,=$D$30*$H48*3600/$I48*-0.97,=$K48-$J48
#10 トラルコーンオイル[HQ] + ココナッツミルク + (セビーチェ[HQ]) → ムケッカ[HQ],,,,,,,3,40,=(($D$4*3+$D$5*3+$D$13+$D$16*2+$D$18+$D$20+$D$21+$D$22)*3600/$I49+$D$8*2)*1.05,=$D$30*$H49*3600/$I49*-0.97,=$K49-$J49
#11 トラルコーンオイル[HQ] + ココナッツミルク[HQ] → ムケッカ[HQ],,,,,,,3,37.5,=($D$4*3+$D$5*3+$D$13+$D$16*2+$D$19+$D$20+$D$21+$D$22)*3600/$I50*1.05,=$D$30*$H50*3600/$I50*-0.97,=$K50-$J50
,,,,,,,,,,,
(What if I craft the intermediate products),,,,,,,,,,,
Compound Synthesis Plan,,,,,,,Yield / Batch,Time / Batch,Expense / Hour,Revenue / Hour,Profit / Hour
#2(×2) + #9(×3),,,,,,,9,=I$41*2+I$48*3,=(($D$3*8+$D$14*6)*2+($D$4*3+$D$5*3+$D$13+$D$18+$D$20+$D$21+$D$22+$D$7*$I$48/1800)*3)*3600/$I54*1.05,=$D$30*$H54*3600/$I54*-0.97,=$K54-$J54
